name,Position,EPID,Wage,Week 1,Week 2,Week 3,Week 4,Week 5
Firstname Lastname,"Entry, Middle, Senior",Employee ID,Hourly Wage,Hours Worked,Hours Worked,Hours Worked,Hours Worked,Hours Worked
Neta Bautch,Senior Level,19923499,60.89,29,45,38,26,36
Zaida Groen,Senior Level,19923500,82.33,29,41,34,55,33
Letisha Hohman,Senior Level,19923501,88.03,47,34,32,41,57
Marlana Villatoro,Senior Level,19923502,99.8,26,55,53,46,39
Chrystal Boulware,Entry Level,19923503,25.91,26,56,21,56,41
Addie Kerstetter,Entry Level,19923504,50.78,28,22,28,39,23
Tillie Schuman,Middle Level,19923505,49.64,40,40,36,20,21
Meri Wanke,Entry Level,19923506,41.18,20,37,35,32,26
Lory Eickhoff,Middle Level,19923507,57.16,50,34,28,57,34
Shery Marquez,Middle Level,19923508,31.68,27,31,47,33,55
Ping Witherspoon,Entry Level,19923509,28.47,51,46,51,25,30
Trent Whistler,Middle Level,19923510,54.24,35,20,32,40,27
Rebeca Sebesta,Entry Level,19923511,48.49,58,35,44,48,23
Melina Mullaney,Middle Level,19923512,59.85,58,35,31,46,46
Merri Eubanks,Middle Level,19923513,39.37,25,50,45,44,56
Jeannine Willmon,Entry Level,19923514,54.42,39,29,57,51,58
Rosalia Abbot,Middle Level,19923515,22.72,34,51,21,59,41
Everett Samayoa,Middle Level,19923516,37.48,50,23,33,49,52
Janelle Merrigan,Entry Level,19923517,55.05,41,41,34,60,57
Ericka Facer,Middle Level,19923518,56.94,42,20,25,45,31
Peggy Killoran,Entry Level,19923519,49.25,55,49,39,59,26
Sachiko Ruse,Entry Level,19923520,49.88,52,28,23,26,43
Jacqui Mccotter,Entry Level,19923521,28.29,60,22,59,34,43
Tiana Swader,Middle Level,19923522,49.89,36,40,43,40,44
Cicely Mayon,Middle Level,19923523,60.49,33,53,59,53,37
Johnny Rm,Entry Level,19923524,23.41,60,23,28,41,56
Faviola Zwick,Middle Level,19923525,23.79,32,25,44,44,21
Joanna Brocato,Entry Level,19923526,38.99,43,40,30,53,29
Leora Sprinkle,Middle Level,19923527,20.26,40,42,40,44,26
Miranda Baur,Entry Level,19923528,46.95,26,47,46,32,31
Johana Moylan,Middle Level,19923529,60.24,32,46,21,56,24
Whitley Britt,Entry Level,19923530,20.06,39,29,31,46,26
Seymour Wagers,Middle Level,19923531,40.91,41,25,47,39,38
Kenyetta Larry,Middle Level,19923532,48.89,39,57,21,51,33
Antonio Forte,Entry Level,19923533,27.27,57,53,52,38,59
Ted Zeller,Middle Level,19923534,42.86,20,46,41,54,32
Eda Beyers,Middle Level,19923535,56.58,60,42,24,47,40
Amberly Clodfelter,Middle Level,19923536,29.46,41,55,30,34,54
Azalee Saechao,Entry Level,19923537,23.87,40,54,21,55,47
Brigida Arango,Entry Level,19923538,35.92,49,48,51,35,48
Clotilde Kinchen,Entry Level,19923539,46.39,39,34,49,54,44
Vina Thieme,Middle Level,19923540,45.22,25,43,35,32,37
Julio Charlton,Entry Level,19923541,26.09,26,31,45,31,38
Agnes Cordova,Entry Level,19923542,40.32,23,56,42,29,23
Rosamond Schlesinger,Middle Level,19923543,57.14,30,59,34,27,47
Fumiko Hundley,Middle Level,19923544,43.34,22,56,59,35,38
Sherice Selvage,Middle Level,19923545,21.2,48,36,27,51,24
Violeta Barrett,Middle Level,19923546,24.62,54,20,58,34,28
Rhonda Manigault,Middle Level,19923547,57.34,48,60,26,51,21
Na Martine,Middle Level,19923548,49.53,55,46,24,24,45
Ling Mckelvy,Middle Level,19923549,37.01,28,21,59,51,36
Nida Whitmire,Entry Level,19923550,34.83,22,23,43,42,26
Demarcus Burpee,Entry Level,19923551,46.85,28,54,48,53,28
Aurore Precourt,Middle Level,19923552,56.77,31,23,31,47,53
Neville Santillanes,Entry Level,19923553,49.04,33,59,51,31,37
Marge Schnabel,Middle Level,19923554,31.8,35,46,33,34,53
Jarod Whiten,Entry Level,19923555,47.47,36,48,38,25,42
Amy Malpass,Entry Level,19923556,55.13,54,26,46,40,45
Hanh Beckham,Middle Level,19923557,24.5,54,33,52,22,44
Catarina Wren,Entry Level,19923558,45.46,27,23,42,42,44
Shaneka Deloera,Entry Level,19923559,52.72,27,54,48,38,47
Dorcas Taube,Entry Level,19923560,35.3,43,46,56,25,51
Kandace Sevin,Entry Level,19923561,53.48,35,56,47,58,60
Hector Whistler,Entry Level,19923562,32.42,49,34,36,27,56
Carmel La,Middle Level,19923563,58.02,60,33,39,21,38
Angela Daoust,Entry Level,19923564,42.36,29,55,21,46,59
Lieselotte Huebner,Entry Level,19923565,36.72,54,37,37,21,30
Altha Roseman,Middle Level,19923566,41.59,46,42,57,22,23
Ashli Wolter,Entry Level,19923567,36.48,40,55,31,37,20
Teddy Holt,Middle Level,19923568,49.95,20,25,26,55,35
